VCF0004,VCF0303,VCF0106,VCF0104,VCF0102,VCF0114,VCF0140
1992,3,2,1,1,0,2
1992,1,1,2,6,0,2
1992,1,2,2,4,0,5
1992,3,1,1,3,4,5
1992,1,1,1,2,3,3
1992,1,1,2,4,3,3
1992,1,1,1,3,3,1
1992,1,2,2,2,3,5
1992,1,3,2,4,4,3
1992,1,2,2,6,1,1
1992,2,2,1,6,0,2
1992,3,1,1,3,4,3
1992,2,3,1,5,1,6
1992,1,1,1,4,5,6
1992,1,1,2,4,3,3
1992,3,1,2,5,3,5
1992,1,2,2,4,1,1
1992,1,1,2,6,3,2
1992,1,1,1,3,1,5
1992,1,1,1,2,3,5
1992,3,1,2,3,4,6
1992,1,1,2,3,4,6
1992,1,2,2,2,3,5
1992,3,1,2,3,5,6
1992,2,1,1,4,0,6
1992,3,1,1,6,3,1
1992,1,1,2,1,3,6
1992,1,1,1,7,0,3
1992,2,1,1,5,0,3
1992,3,1,2,6,1,2
1992,2,1,2,3,5,6
1992,1,1,1,5,0,3
1992,2,1,1,4,4,1
1992,1,1,1,7,1,1
1992,1,2,2,1,3,5
1992,1,1,2,7,2,3
1992,3,1,2,4,4,3
1992,3,1,1,3,1,5
1992,3,3,1,2,4,6
1992,3,1,2,4,4,6
1992,3,1,1,3,4,6
1992,3,1,2,6,3,5
1992,3,1,2,6,2,5
1992,3,1,1,1,4,5
1992,1,3,1,3,3,3
1992,1,1,2,2,2,2
1992,1,1,2,6,3,6
1992,2,1,1,7,3,1
1992,1,1,2,3,0,5
1992,3,1,2,3,5,6
1992,1,1,1,6,2,1
1992,3,1,1,6,3,6
1992,3,1,1,3,3,3
1992,2,3,2,5,1,1
1992,1,2,2,3,2,3
1992,1,3,2,5,3,3
1992,1,1,1,4,4,5
1992,2,1,1,2,4,5
1992,1,3,2,1,3,3
1992,1,1,2,4,2,5
1992,1,3,2,2,2,2
1992,1,1,1,2,2,6
1992,3,1,2,3,3,6
1992,2,1,1,3,2,3
1992,1,3,2,1,3,5
1992,1,1,2,6,0,3
1992,3,1,1,6,4,6
1992,3,1,1,4,4,3
1992,2,1,1,3,3,3
1992,3,1,2,5,2,3
1992,3,1,2,7,0,5
1992,3,1,1,5,4,6
1992,1,1,2,4,3,6
1992,3,1,1,3,4,3
1992,1,1,2,4,3,5
1992,1,1,1,6,3,1
1992,3,1,2,5,3,3
1992,1,3,1,5,2,2
1992,1,1,2,5,2,5
1992,1,3,2,5,4,2
1992,1,1,2,7,1,1
1992,2,1,2,1,0,3
1992,3,1,2,4,5,5
1992,2,1,2,2,4,3
1992,1,1,1,5,3,3
1992,1,1,2,2,4,5
1992,3,1,2,5,4,6
1992,1,3,1,6,3,2
1992,1,1,1,2,3,3
1992,1,1,1,3,4,3
1992,1,1,1,3,4,5
1992,1,1,2,1,4,5
1992,2,2,1,2,4,6
1992,1,1,1,6,4,3
1992,1,2,2,5,0,1
1992,1,1,2,2,4,5
1992,3,1,2,2,4,3
1992,1,1,1,4,4,6
1992,1,1,1,6,2,2
1992,3,1,1,1,4,3
1992,3,3,1,1,3,5
1992,1,2,1,6,1,2
1992,2,1,2,6,3,3
1992,3,1,2,6,4,5
1992,3,1,2,1,3,3
1992,3,1,1,3,4,6
1992,3,1,1,2,4,6
1992,1,3,2,2,4,3
1992,1,3,2,6,0,1
1992,3,1,2,3,3,3
1992,3,1,2,1,1,9
1992,1,1,1,3,3,3
1992,1,1,1,3,3,6
1992,2,2,2,3,1,2
1992,1,1,2,2,4,5
1992,1,1,2,1,2,5
1992,3,1,1,2,0,5
1992,1,1,2,3,4,6
1992,3,1,2,2,4,5
1992,3,1,2,4,3,5
1992,1,1,1,3,4,6
1992,3,1,2,2,4,6
1992,3,1,1,3,3,5
1992,3,1,2,2,3,3
1992,1,1,1,7,1,1
1992,2,1,1,3,4,3
1992,3,1,2,5,4,3
1992,2,1,2,1,4,3
1992,1,2,1,4,3,1
1992,3,1,2,6,0,3
1992,3,1,1,1,2,5
1992,2,3,2,3,3,6
1992,1,1,2,4,1,1
1992,3,1,2,1,2,5
1992,1,2,2,4,3,5
1992,3,1,2,6,1,3
1992,2,1,1,4,4,5
1992,1,1,1,3,4,6
1992,3,1,1,4,2,6
1992,3,1,1,2,4,6
1992,1,3,2,2,2,3
1992,1,1,1,2,3,6
1992,3,1,2,6,4,5
1992,3,1,2,4,4,5
1992,1,3,2,4,1,3
1992,1,1,2,2,4,6
1992,3,1,2,2,3,6
1992,1,2,2,5,0,3
1992,3,1,1,2,3,2
1992,3,1,2,1,2,5
1992,1,1,2,6,0,1
1992,3,1,2,3,4,3
1992,1,3,2,2,4,3
1992,1,1,1,1,1,3
1992,2,2,2,1,2,3
1992,1,2,2,1,2,3
1992,3,3,2,1,1,3
1992,1,1,2,3,3,6
1992,1,2,1,2,4,6
1992,1,1,2,2,3,2
1992,1,1,1,2,4,6
1992,1,2,1,1,1,3
1992,3,1,1,2,4,6
1992,1,1,2,3,2,3
1992,1,2,2,3,4,6
1992,3,1,1,3,4,3
1992,2,3,1,3,5,6
1992,1,3,1,4,3,2
1992,3,1,2,5,5,5
1992,2,1,1,7,1,1
1992,3,9,1,2,3,9
1992,2,2,2,5,2,3
1992,2,1,1,3,2,3
1992,3,1,1,2,4,3
1992,1,2,2,4,1,5
1992,2,2,1,2,3,3
1992,3,2,1,3,3,3
1992,1,1,2,1,1,5
1992,1,1,2,5,1,3
1992,1,3,2,4,2,3
1992,3,1,2,7,0,5
1992,1,1,2,2,3,3
1992,2,1,1,2,4,6
1992,1,3,1,5,2,1
1992,1,3,2,6,2,2
1992,3,1,2,2,4,5
1992,2,2,2,2,1,2
1992,3,1,1,1,3,5
1992,3,3,2,2,5,5
1992,2,3,1,4,4,6
1992,3,1,1,2,0,6
1992,3,1,1,4,5,6
1992,1,1,1,5,1,3
1992,3,1,1,4,5,6
1992,3,3,1,2,4,6
1992,1,3,1,5,1,1
1992,3,1,2,3,2,5
1992,1,1,1,1,2,6
1992,1,1,1,3,4,6
1992,3,1,2,2,0,3
1992,3,1,1,3,4,6
1992,1,1,2,6,1,3
1992,1,2,1,5,4,2
1992,1,2,1,5,4,3
1992,1,1,2,4,4,1
1992,3,1,1,2,3,5
1992,3,1,2,6,4,6
1992,1,1,2,6,4,6
1992,3,1,1,3,4,6
1992,1,1,1,3,4,3
1992,1,1,2,3,5,6
1992,1,1,1,4,0,6
1992,2,3,2,4,3,1
1992,1,1,2,7,3,1
1992,1,1,2,3,4,6
1992,3,1,2,2,4,6
1992,3,1,2,1,2,3
1992,1,1,2,2,1,2
1992,1,3,1,2,3,5
1992,1,1,1,6,4,3
1992,1,1,2,3,4,3
1992,2,1,1,2,0,6
1992,1,1,2,1,4,3
1992,1,1,2,3,1,2
1992,3,1,2,3,4,6
1992,3,1,1,7,3,2
1992,1,1,2,1,5,6
1992,3,1,1,4,5,6
1992,3,1,1,3,4,6
1992,2,1,1,3,2,5
1992,3,1,1,6,3,2
1992,1,1,2,3,4,6
1992,2,1,1,2,3,5
1992,2,1,1,3,4,3
1992,2,3,2,1,3,3
1992,2,1,1,5,4,5
1992,1,1,2,5,1,3
1992,3,1,2,4,4,3
1992,1,3,2,4,4,6
1992,1,1,2,1,3,3
1992,3,3,2,3,1,2
1992,1,1,1,1,2,3
1992,1,3,2,4,2,1
1992,2,1,2,4,4,3
1992,3,1,2,6,2,6
1992,1,1,2,7,0,1
1992,2,1,1,6,3,6
1992,1,1,2,6,2,1
1992,3,1,2,1,3,5
1992,3,1,1,2,3,6
1992,2,1,1,3,2,2
1992,1,1,1,3,0,3
1992,1,2,2,2,3,3
1992,1,1,2,7,2,5
1992,1,2,2,7,0,1
1992,1,3,1,5,4,6
1992,3,1,2,7,4,5
1992,1,1,2,2,4,3
1992,2,2,2,2,0,9
1992,3,1,2,3,3,5
1992,1,1,1,4,3,5
1992,3,1,2,3,4,6
1992,3,1,1,6,5,6
1992,1,1,1,5,2,5
1992,2,1,2,2,3,5
1992,2,1,2,1,3,3
1992,2,1,1,4,3,1
1992,1,1,1,3,4,5
1992,2,1,1,4,4,5
1992,1,1,2,5,1,1
1992,3,1,1,2,2,5
1992,3,1,2,7,1,2
1992,2,2,1,3,1,3
1992,1,1,1,3,5,6
1992,3,3,1,5,3,6
1992,2,1,1,6,2,5
1992,3,1,1,3,3,5
1992,3,1,2,2,4,3
1992,1,1,1,3,2,2
1992,3,1,1,1,3,2
1992,3,1,1,3,3,6
1992,2,3,2,2,0,6
1992,3,1,2,7,4,5
1992,1,1,2,3,1,3
1992,3,3,2,4,0,5
1992,3,3,1,1,1,6
1992,1,1,2,2,4,5
1992,1,2,2,2,1,3
1992,1,2,2,7,2,3
1992,2,1,2,6,3,1
1992,1,1,2,6,3,1
1992,1,1,1,3,4,6
1992,1,3,1,2,3,5
1992,2,1,1,1,2,3
1992,1,1,2,6,2,5
1992,3,3,1,2,3,5
1992,3,1,1,3,3,6
1992,3,1,1,2,3,6
1992,1,1,2,4,4,6
1992,1,2,2,4,1,3
1992,1,1,2,2,1,3
1992,1,1,2,6,2,5
1992,3,1,2,3,1,5
1992,2,2,2,2,1,3
1992,1,1,1,3,3,2
1992,1,1,1,5,4,6
1992,3,1,1,4,4,6
1992,1,2,1,1,4,5
1992,1,1,2,2,3,3
1992,1,1,2,3,3,2
1992,1,1,2,4,5,3
1992,1,1,1,2,3,3
1992,2,1,1,5,0,9
1992,1,1,2,6,1,6
1992,1,2,1,2,3,6
1992,1,1,1,3,1,9
1992,1,1,1,4,4,3
1992,0,1,2,6,0,6
1992,3,1,1,4,4,5
1992,3,3,2,1,1,2
1992,1,2,2,7,1,1
1992,1,3,2,5,2,1
1992,3,3,2,4,4,6
1992,3,1,2,6,2,1
1992,1,1,1,2,2,3
1992,1,1,2,6,2,9
1992,3,3,2,3,1,2
1992,3,1,2,2,0,9
1992,3,9,1,4,0,9
1992,2,9,2,7,0,9
1992,1,2,1,3,3,5
1992,3,1,1,1,3,3
1992,1,3,2,1,1,5
1992,1,2,1,1,3,6
1992,1,2,1,2,3,5
1992,3,1,1,4,4,6
1992,1,3,1,3,4,5
1992,3,1,2,3,4,5
1992,1,1,1,3,4,5
1992,1,1,1,2,3,3
1992,3,1,1,2,4,2
1992,1,1,1,2,2,3
1992,3,1,2,4,3,3
1992,1,1,2,6,2,3
1992,3,1,2,5,1,3
1992,3,1,1,6,2,6
1992,3,1,1,2,3,5
1992,1,1,1,3,4,3
1992,1,1,1,4,4,5
1992,3,1,1,2,3,5
1992,3,1,2,3,4,3
1992,3,1,1,1,0,2
1992,1,1,2,4,5,6
1992,2,9,1,1,4,9
1992,2,3,2,3,4,6
1992,3,1,1,2,3,9
1992,3,1,1,2,4,9
1992,1,1,2,3,3,2
1992,1,1,2,3,3,3
1992,1,1,2,4,2,2
1992,3,1,2,2,3,3
1992,2,1,1,2,3,3
1992,2,1,2,2,3,3
1992,1,1,2,2,3,3
1992,1,1,1,1,1,5
1992,3,1,2,1,1,5
1992,2,1,1,1,1,5
1992,3,1,2,2,4,3
1992,3,1,1,4,4,9
1992,1,2,2,7,0,1
1992,1,2,2,7,2,3
1992,1,1,2,7,2,1
1992,3,1,2,3,3,6
1992,2,1,1,4,3,2
1992,3,1,1,2,2,6
1992,1,1,1,5,4,2
1992,2,1,2,2,1,2
1992,3,1,1,4,4,6
1992,1,1,2,3,1,2
1992,3,1,1,3,3,3
1992,3,1,2,1,1,5
1992,3,1,2,3,4,2
1992,3,1,2,2,5,5
1992,1,1,2,7,0,1
1992,3,1,1,5,4,6
1992,1,1,2,4,3,3
1992,3,1,1,6,2,3
1992,3,2,1,2,3,6
1992,3,1,1,7,2,3
1992,1,1,2,6,3,2
1992,3,1,1,2,4,6
1992,3,1,1,2,2,5
1992,3,1,2,4,4,3
1992,1,1,2,6,1,3
1992,3,1,1,2,4,6
1992,1,2,2,3,3,5
1992,1,1,1,1,3,2
1992,0,2,2,2,0,5
1992,1,1,2,6,4,3
1992,3,1,2,6,5,6
1992,1,1,1,1,3,9
1992,1,1,1,5,2,5
1992,3,1,1,4,4,5
1992,3,1,2,2,2,5
1992,1,2,1,2,3,3
1992,3,1,2,4,3,5
1992,2,1,1,2,2,3
1992,2,1,1,2,3,6
1992,3,1,2,3,3,6
1992,3,2,2,2,1,5
1992,1,2,1,4,3,6
1992,3,1,2,4,5,6
1992,2,1,1,2,0,2
1992,3,1,2,6,4,6
1992,3,1,2,4,3,6
1992,1,1,2,6,2,3
1992,3,1,1,3,2,2
1992,3,1,1,6,4,9
1992,3,1,1,4,4,6
1992,1,1,1,4,0,6
1992,3,3,1,3,2,5
1992,1,1,1,3,3,6
1992,1,3,1,2,2,3
1992,1,1,2,1,3,3
1992,2,1,1,1,2,2
1992,3,1,2,3,4,3
1992,1,1,2,2,3,6
1992,1,1,2,2,4,3
1992,1,3,2,2,4,5
1992,3,1,2,4,0,3
1992,3,1,2,4,0,5
1992,3,1,1,1,0,5
1992,3,1,1,6,1,1
1992,1,1,1,6,1,1
1992,1,1,2,3,3,6
1992,1,1,2,5,1,1
1992,3,1,2,1,3,3
1992,2,1,1,3,1,5
1992,1,1,1,6,3,3
1992,3,1,1,3,4,6
1992,1,1,2,1,1,6
1992,3,1,2,2,4,5
1992,2,1,2,1,4,5
1992,3,1,2,2,5,6
1992,1,1,1,2,2,3
1992,1,2,1,4,3,3
1992,3,1,1,4,4,6
1992,3,1,2,5,1,5
1992,3,1,2,5,2,5
1992,1,2,1,3,4,6
1992,3,1,1,2,4,6
1992,1,1,2,4,2,3
1992,3,1,2,2,3,6
1992,3,1,2,2,4,5
1992,1,1,2,3,4,6
1992,2,3,2,6,2,2
1992,1,2,2,2,1,2
1992,1,1,2,4,5,6
1992,2,1,1,4,3,3
1992,1,2,1,3,1,3
1992,3,3,2,7,1,1
1992,3,1,1,2,3,5
1992,1,1,2,3,5,6
1992,1,1,2,6,1,2
1992,1,1,1,1,1,5
1992,1,1,1,2,4,5
1992,1,2,2,4,4,5
1992,3,1,1,5,3,6
1992,1,1,2,2,4,9
1992,1,1,2,2,3,6
1992,1,2,1,6,1,3
1992,3,1,1,6,5,6
1992,2,3,2,1,4,2
1992,1,2,1,5,1,2
1992,1,2,1,2,4,6
1992,3,1,1,2,3,6
1992,2,2,2,7,2,3
1992,1,1,2,2,3,6
1992,2,1,1,3,5,6
1992,3,1,1,2,4,3
1992,3,1,2,4,3,3
1992,3,1,2,4,4,3
1992,1,2,2,5,3,6
1992,1,1,2,6,0,2
1992,1,1,2,6,3,3
1992,3,3,2,2,3,5
1992,3,1,2,3,4,6
1992,1,1,2,2,4,6
1992,3,1,1,4,4,6
1992,3,3,1,3,2,6
1992,1,1,2,2,3,5
1992,1,1,1,3,4,5
1992,3,1,2,1,3,3
1992,1,1,1,4,4,3
1992,1,1,1,4,4,3
1992,2,1,1,4,4,3
1992,3,1,2,7,2,3
1992,3,1,1,4,4,3
1992,1,1,2,3,4,9
1992,1,1,1,4,4,6
1992,2,1,2,5,3,9
1992,3,1,2,1,4,5
1992,3,1,2,7,0,1
1992,1,1,2,3,4,6
1992,1,2,2,2,2,2
1992,1,1,1,6,4,5
1992,1,1,1,3,5,6
1992,1,1,2,4,3,5
1992,1,1,2,3,3,5
1992,2,1,2,2,4,6
1992,1,1,1,2,3,5
1992,1,1,1,3,3,6
1992,2,1,1,2,3,5
1992,2,1,1,2,3,3
1992,1,3,2,3,4,3
1992,3,1,1,3,5,6
1992,3,1,2,2,4,5
1992,3,1,1,5,4,6
1992,3,1,1,4,4,6
1992,1,1,2,4,4,3
1992,1,2,1,2,3,3
1992,2,1,2,2,3,2
1992,1,1,2,2,3,3
1992,1,3,1,4,3,3
1992,3,1,2,2,1,6
1992,1,1,1,2,2,3
1992,3,1,2,6,0,2
1992,1,1,2,4,3,2
1992,1,3,2,3,0,3
1992,1,1,1,2,4,6
1992,3,1,2,6,2,3
1992,1,2,2,1,1,3
1992,3,1,2,3,3,6
1992,3,1,1,3,5,6
1992,3,1,2,3,5,6
1992,1,1,2,7,0,2
1992,3,1,1,2,5,5
1992,1,2,2,2,4,6
1992,3,1,2,4,4,6
1992,3,3,2,2,4,6
1992,3,3,2,2,3,6
1992,3,1,2,3,4,9
1992,3,1,1,3,4,6
1992,3,1,1,3,3,3
1992,3,1,1,3,4,6
1992,1,1,1,2,0,9
1992,1,1,2,3,3,5
1992,1,1,2,3,4,5
1992,3,1,2,3,5,6
1992,3,1,2,4,4,3
1992,1,1,1,2,4,6
1992,1,1,1,3,3,6
1992,2,2,2,2,1,5
1992,1,3,1,5,4,2
1992,3,1,1,5,4,6
1992,2,1,1,6,4,3
1992,1,1,2,2,2,3
1992,1,1,2,3,3,3
1992,1,1,2,5,3,5
1992,3,1,1,4,3,1
1992,1,1,2,4,0,5
1992,3,1,1,3,4,6
1992,1,1,2,3,3,3
1992,1,1,2,5,1,1
1992,3,1,1,2,4,5
1992,3,1,2,7,1,3
1992,2,2,2,2,2,5
1992,1,2,2,2,2,5
1992,3,1,1,2,4,1
1992,3,3,1,2,0,3
1992,1,1,2,3,4,6
1992,1,1,1,3,4,3
1992,1,1,1,5,4,3
1992,3,1,2,2,3,5
1992,1,2,2,2,1,2
1992,1,1,2,6,3,9
1992,2,1,1,3,4,3
1992,3,1,2,4,4,3
1992,1,1,2,5,4,2
1992,1,1,2,4,3,3
1992,1,3,2,3,5,6
1992,3,1,2,4,3,6
1992,2,1,2,1,4,9
1992,3,1,2,6,2,5
1992,1,1,2,3,4,3
1992,3,1,2,6,3,3
1992,1,1,1,5,4,3
1992,3,1,1,1,3,2
1992,3,1,2,2,3,3
1992,3,1,2,5,1,3
1992,1,1,1,6,4,3
1992,3,1,1,3,4,5
1992,1,1,2,4,4,6
1992,1,3,2,1,2,3
1992,1,2,1,7,0,1
1992,3,1,2,2,4,3
1992,3,3,1,4,4,3
1992,1,1,1,3,3,6
1992,2,1,2,7,2,3
1992,1,1,2,4,4,6
1992,3,3,1,4,4,3
1992,3,1,2,2,4,5
1992,3,2,2,1,1,2
1992,3,1,2,4,4,3
1992,3,1,2,2,4,6
1992,1,1,1,7,3,3
1992,3,1,1,2,4,3
1992,3,1,1,3,5,6
1992,1,3,2,1,2,5
1992,1,2,2,1,1,3
1992,1,1,1,7,0,1
1992,2,1,1,3,4,3
1992,3,1,1,2,0,5
1992,3,1,1,6,5,6
1992,3,1,2,3,4,9
1992,1,1,2,4,3,6
1992,1,1,2,5,4,3
1992,1,3,2,1,2,2
1992,1,1,2,4,5,5
1992,3,1,2,7,4,3
1992,1,1,2,3,2,3
1992,1,1,1,3,3,3
1992,2,1,2,5,4,5
1992,3,1,1,3,2,2
1992,1,3,1,6,2,3
1992,3,1,1,2,4,9
1992,3,3,2,2,3,6
1992,3,1,2,5,3,3
1992,2,2,1,2,3,3
1992,3,1,1,4,0,5
1992,1,1,1,2,5,3
1992,1,1,2,2,4,6
1992,3,1,2,3,1,3
1992,1,2,2,1,4,3
1992,1,1,1,3,4,3
1992,2,1,1,4,3,3
1992,2,2,1,4,0,3
1992,3,1,1,3,4,5
1992,2,1,1,2,5,3
1992,1,1,2,5,1,1
1992,1,1,2,1,3,3
1992,1,1,2,6,2,5
1992,1,3,2,2,3,3
1992,3,1,2,7,3,5
1992,2,1,1,4,4,3
1992,1,2,2,2,2,3
1992,1,1,1,4,1,6
1992,2,3,1,3,3,6
1992,3,1,2,5,2,3
1992,1,2,2,4,4,5
1992,1,2,2,2,3,6
1992,1,3,1,1,0,2
1992,1,1,2,6,4,5
1992,3,1,1,2,4,6
1992,1,1,2,3,5,3
1992,1,1,2,6,3,5
1992,1,1,1,2,3,3
1992,3,1,1,6,4,5
1992,1,1,1,7,2,3
1992,3,1,1,2,3,6
1992,1,1,2,1,2,5
1992,3,1,2,5,0,6
1992,3,1,1,4,4,6
1992,1,1,2,3,2,5
1992,1,1,1,3,4,6
1992,1,1,1,5,5,6
1992,1,1,2,5,1,1
1992,3,1,1,2,3,6
1992,1,1,2,4,2,3
1992,3,1,1,1,2,5
1992,1,1,1,4,2,2
1992,2,1,1,3,3,5
1992,3,1,1,4,3,6
1992,2,1,2,4,0,5
1992,1,3,2,3,3,3
1992,3,1,1,4,4,6
1992,3,3,1,7,0,5
1992,1,1,2,3,4,6
1992,2,1,2,2,3,2
1992,1,1,1,2,3,6
1992,1,2,1,1,2,5
1992,3,1,1,6,4,9
1992,2,1,2,6,0,3
1992,3,1,1,1,4,5
1992,2,1,1,1,4,3
1992,2,1,2,2,3,2
1992,1,1,2,5,4,6
1992,3,1,1,1,2,2
1992,1,1,2,2,3,3
1992,3,1,1,6,4,2
1992,1,1,1,2,2,3
1992,3,1,1,3,0,3
1992,2,1,2,2,4,6
1992,3,1,1,2,2,3
1992,1,1,1,5,4,3
1992,1,1,2,3,4,6
1992,1,2,1,1,3,3
1992,1,1,1,2,0,5
1992,3,1,2,3,0,5
1992,1,1,2,4,2,3
1992,1,1,2,7,0,5
1992,2,1,1,6,0,5
1992,3,1,2,4,0,9
1992,1,1,1,5,3,3
1992,1,1,1,1,4,5
1992,1,2,1,3,4,6
1992,3,1,2,3,3,6
1992,3,1,2,3,4,6
1992,1,1,1,3,5,6
1992,1,1,1,3,3,3
1992,1,3,2,2,1,5
